instance_index,feasible,candidates,feasible_candidates,pgm_failed_batch_points,pgm_failed_candidates,native_pgm_wrong_branch_points,native_pgm_wrong_branch_candidates,fixed_pv_fallback_points,fixed_pv_fallback_candidates,final_failed_batch_points,final_failed_candidates,best_candidate_index,best_feasible_candidate_index,best_all_candidate_index,cost_available,feasible_cost,all_cost,best_cost,generation_seconds,pgm_batch_seconds,pgm_prepare_seconds,pgm_power_flow_seconds,pgm_extract_seconds,fixed_pv_newton_seconds,constraint_evaluation_seconds,total_seconds,batch_points,pv_iterations,max_batch_pv_voltage_error_pu,maximum_violation,max_pf_residual_mva,violation_pg,violation_qg,violation_voltage,violation_angle,violation_thermal,violation_ramp
2094,1,5,5,5,1,1,1,6,1,0,0,3,3,3,1,1661998.7432397492,1661998.7432397492,1661998.7432397492,0.008159000019077212,1.0343037000275217,0.8795321000507101,0.08985220000613481,0.06491110002389178,0.8729450000100769,0.0687309000059031,1.111193600052502,1505,5,2.428479639604575e-11,1.9912829718471398e-08,5.307310800021792e-11,0.0,0.0,1.9912829718471398e-08,0.0,0.0,0.0
337,1,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1673781.3297209986,1673781.3297209986,1673781.3297209986,0.0036142999888397753,0.6704750999924727,0.4763196000130847,0.0924024999840185,0.10169119999045506,0.4702879000105895,0.07935880002332851,0.753448200004641,1505,5,2.443267810292582e-11,1.9928696655864998e-08,3.75357850638114e-11,0.0,0.0,1.9928696655864998e-08,0.0,0.0,0.0
2130,1,5,4,5,1,2,1,7,1,0,0,2,2,2,1,1645461.2008245536,1645461.2008245536,1645461.2008245536,0.003736299986485392,0.6384753999882378,0.473979500005953,0.09760919999098405,0.06687310000415891,0.4684148000087589,0.06792170001426712,0.7101333999889903,1505,5,1.8529400236388938e-11,2.243939567492248e-07,4.102819385718608e-11,0.0,0.0,1.9885359100098755e-08,0.0,0.0,2.243939567492248e-07
3070,1,5,5,4,2,0,0,4,2,0,0,0,0,0,1,1688388.3971242458,1688388.3971242458,1688388.3971242458,0.004371799994260073,0.6282507000141777,0.4768855000147596,0.08563570003025234,0.06571739999344572,0.4708932999637909,0.0686240999493748,0.7012465999578126,1505,5,1.7318146916522892e-11,1.9955398444793088e-08,3.557605755788432e-11,0.0,0.0,1.9955398444793088e-08,0.0,0.0,0.0
2527,1,5,5,4,1,0,0,4,1,0,0,3,3,3,1,1690218.929232053,1690218.929232053,1690218.929232053,0.00411579996580258,0.6189854000112973,0.4786593000171706,0.06054579996271059,0.07977370003936812,0.4724794999929145,0.07258679997175932,0.6956879999488592,1505,5,2.0971002712144582e-11,1.9889645486159663e-08,1.1616064979222754e-10,0.0,0.0,1.9889645486159663e-08,0.0,0.0,0.0
1936,1,5,5,0,0,0,0,0,0,0,0,3,3,3,1,1454141.181238571,1454141.181238571,1454141.181238571,0.005001100013032556,0.6075260000070557,0.4755627999547869,0.06408130005002022,0.06785420002415776,0.4690949999494478,0.06697139999596402,0.6794985000160523,1505,5,1.159228268932111e-11,5.60984891873062e-08,3.129954244424477e-11,0.0,0.0,1.990564379994451e-08,0.0,0.0,5.60984891873062e-08
2921,1,5,5,1,1,0,0,1,1,0,0,4,4,4,1,1677639.3829890525,1677639.3829890525,1677639.3829890525,0.0036871000193059444,0.6506865000119433,0.475227500020992,0.087035599979572,0.08841089997440577,0.4692566000157967,0.0768833999754861,0.7312570000067353,1505,5,2.0492163521623752e-11,1.9875373569178106e-08,1.5045251969362074e-10,0.0,0.0,1.9875373569178106e-08,0.0,0.0,0.0
3074,1,5,5,0,0,0,0,0,0,0,0,3,3,3,1,1537695.0452561523,1537695.0452561523,1537695.0452561523,0.004043599998112768,0.6251226000022143,0.48490789998322725,0.07431769999675453,0.0658693999866955,0.4767114000278525,0.07335650001186877,0.7025227000121959,1505,5,2.865707671162454e-11,1.9936527428932022e-08,3.7191782671930816e-11,0.0,0.0,1.9936527428932022e-08,0.0,0.0,0.0
4098,1,5,5,0,0,0,0,0,0,0,0,2,2,2,1,1708870.6917463494,1708870.6917463494,1708870.6917463494,0.004044900008011609,0.6151474000071175,0.4759854000294581,0.07593799999449402,0.06319720001192763,0.4700734000070952,0.07004900003084913,0.6892413000459783,1505,5,2.2531532195557702e-11,1.994333494644468e-08,4.104184785691907e-11,0.0,0.0,1.994333494644468e-08,0.0,0.0,0.0
3846,1,5,5,2,1,0,0,2,1,0,0,0,0,0,1,1607104.7627853104,1607104.7627853104,1607104.7627853104,0.004926700028590858,0.6193482999806292,0.47431020002113655,0.07921189995249733,0.06582009996054694,0.46832679997896776,0.06990340002812445,0.6941784000373445,1505,5,3.6908365252941167e-11,1.9883042434720705e-08,1.1231383733066777e-10,0.0,0.0,1.9883042434720705e-08,0.0,0.0,0.0
225,1,5,5,0,0,0,0,0,0,0,0,4,4,4,1,1549385.7222400114,1549385.7222400114,1549385.7222400114,0.004524899995885789,0.6195441000163555,0.4791900999844074,0.061806000012438744,0.07851810002466664,0.4734150000149384,0.07168699998874217,0.6957560000009835,1505,5,1.3145484700771704e-11,1.4128508385446992e-07,4.3744184762673075e-11,0.0,0.0,1.988631574227164e-08,0.0,0.0,1.4128508385446992e-07
2205,1,5,5,0,0,0,0,0,0,0,0,3,3,3,1,1719519.457578702,1719519.457578702,1719519.457578702,0.01179950003279373,0.6594550999579951,0.4861152999801561,0.08495300001231954,0.08834640000713989,0.47672410000814125,0.06706900004064664,0.7383236000314355,1505,5,2.3522073178128267e-11,1.988259279439573e-08,4.105402202668262e-11,0.0,0.0,1.988259279439573e-08,0.0,0.0,0.0
