candidates,instances,feasible_instances,instance_feasibility_rate,candidate_feasibility_rate,mean_feasible_cost,feasible_cost_ci95,mean_total_seconds,total_seconds_ci95,mean_pgm_seconds,mean_generation_seconds,mean_pgm_failed_points,mean_pgm_failed_candidates,common_feasible_instances,mean_common_feasible_cost,common_feasible_cost_ci95
1,200,198,0.99,0.99,1693916.2502217593,17031.469224529847,0.15457164399995235,0.003705709818805518,0.14039097550034058,0.0041803205004544,0.865,0.13,198,1693916.25022176,17031.469224529847
5,200,200,1.0,0.987,1611513.4491155762,14118.27130830402,0.8437178385010339,0.013818728517969536,0.7099301704962272,0.008360974501702003,5.74,0.6,198,1610766.8096525886,14201.89651534595
10,200,200,1.0,0.9865,1587554.2075892584,13345.468435320168,1.7420006784971338,0.014640626620679473,1.4333770450015435,0.009465080999652854,11.445,1.225,198,1586872.4454631251,13442.409966874231
20,200,200,1.0,0.986,1578416.5178528586,12967.454717190749,3.452188977499318,0.011723550424825176,2.8360539094993147,0.009934587997558992,22.85,2.4,198,1577712.377560005,13059.374558473051
50,200,200,1.0,0.9839,1571636.527372444,12983.999430175216,6.801371269002848,0.008690088894710755,6.031267440502416,0.0047471280026366,63.825,5.935,198,1570863.902332463,13068.593767193419
100,200,200,1.0,0.9835,1568985.205086047,12975.796524563822,13.522726584997145,0.023332175541155787,11.93125740549789,0.02093790249869926,129.65,11.775,198,1568185.799016315,13057.134611882788
200,200,200,1.0,0.9838,1567624.946675543,13019.618897968645,27.07937413649779,0.03828431483169042,23.735210916001524,0.05103874249994988,261.98,23.135,198,1566811.7982942988,13099.920567028792
