instance_index,feasible,candidates,feasible_candidates,pgm_failed_batch_points,pgm_failed_candidates,native_pgm_wrong_branch_points,native_pgm_wrong_branch_candidates,fixed_pv_fallback_points,fixed_pv_fallback_candidates,final_failed_batch_points,final_failed_candidates,best_candidate_index,best_feasible_candidate_index,best_all_candidate_index,cost_available,feasible_cost,all_cost,best_cost,generation_seconds,pgm_batch_seconds,pgm_prepare_seconds,pgm_power_flow_seconds,pgm_extract_seconds,fixed_pv_newton_seconds,constraint_evaluation_seconds,total_seconds,batch_points,pv_iterations,max_batch_pv_voltage_error_pu,maximum_violation,max_pf_residual_mva,violation_pg,violation_qg,violation_voltage,violation_angle,violation_thermal,violation_ramp
2094,1,200,197,174,27,37,9,211,27,0,0,183,183,159,1,1658423.6243496274,1658423.6243496274,1658423.6243496274,0.003748799965251237,23.701393500028644,19.08116100000916,1.4785531000234187,3.1416666000150144,18.817363200010732,3.2842416999628767,26.98938399995677,60200,5,3.417066629651799e-11,1.9892452500040255e-08,4.1543684474204525e-11,0.0,0.0,1.9892452500040255e-08,0.0,0.0,0.0
337,1,200,195,709,23,120,9,829,23,0,0,117,117,110,1,1665722.6226051338,1665722.6226051338,1665722.6226051338,0.04776350001338869,23.9774488999974,19.119238000013866,1.6455012999940664,3.2126943999901414,18.84903519996442,3.1436610000091605,27.168873400019947,60200,5,4.3368419966327565e-11,1.9900323981284847e-08,3.5619364505146124e-11,0.0,0.0,1.9900323981284847e-08,0.0,0.0,0.0
2130,1,200,196,514,22,109,12,623,22,0,0,120,120,172,1,1636305.2016665651,1636305.2016665651,1636305.2016665651,0.05762079998385161,23.84920910000801,19.094174399971962,1.5949963000020944,3.16002790001221,18.836404200003017,3.401153600018006,27.30798350000987,60200,5,3.18302051383057e-11,1.9876199760145597e-08,4.7295658096983264e-11,0.0,0.0,1.9876199760145597e-08,0.0,0.0,0.0
3070,1,200,199,663,31,176,15,839,31,0,0,165,165,165,1,1653129.4597691486,1653129.4597691486,1653129.4597691486,0.05341279995627701,23.80515660002129,19.192459400044754,1.5445762999588624,3.068110299995169,18.916908900020644,3.2561976999859326,27.1147670999635,60200,5,3.054838604299448e-10,1.9905857517876752e-08,3.541185708701025e-11,0.0,0.0,1.9905857517876752e-08,0.0,0.0,0.0
2527,1,200,193,299,29,68,11,367,30,0,0,85,85,85,1,1659355.0712335545,1659355.0712335545,1659355.0712335545,0.044232600019313395,24.419395599979907,19.261376600014046,1.4991095999721438,3.6588975999620743,18.96727159997681,3.868161400023382,28.331789600022603,60200,5,7.643019550584995e-11,1.988686715304054e-08,4.15673800981217e-11,0.0,0.0,1.988686715304054e-08,0.0,0.0,0.0
1936,1,200,199,0,0,0,0,0,0,0,0,191,191,191,1,1403943.7590395845,1403943.7590395845,1403943.7590395845,0.05166180001106113,23.487441800010856,19.07929399999557,1.2733148999977857,3.134796100028325,18.80690110003343,3.313996299984865,26.853099900006782,60200,5,2.8080981984146547e-11,1.9897013666299757e-08,4.353762265313503e-11,0.0,0.0,1.9897013666299757e-08,0.0,0.0,0.0
2921,1,200,199,322,29,177,14,499,29,0,0,28,28,61,1,1639983.6108856702,1639983.6108856702,1639983.6108856702,0.0503739999840036,23.99972040002467,19.30003530002432,1.5064040999859571,3.1932687000371516,19.023775000008754,3.2503858999698423,27.300480299978517,60200,5,4.912215079144744e-11,1.987693528289941e-08,4.1377820798851355e-11,0.0,0.0,1.987693528289941e-08,0.0,0.0,0.0
3074,1,200,196,259,28,79,14,338,29,0,0,88,88,88,1,1519253.4784786657,1519253.4784786657,1519253.4784786657,0.04876279999734834,23.727360800025053,19.21589849999873,1.3999777000281028,3.111473400029354,18.938234100001864,3.3401312999776565,27.116254900000058,60200,5,3.098454826044872e-11,1.9881223519332026e-08,4.152866878454958e-11,0.0,0.0,1.9881223519332026e-08,0.0,0.0,0.0
4098,1,200,200,197,8,7,2,204,8,0,0,93,93,93,1,1678155.4602827867,1678155.4602827867,1678155.4602827867,0.05311099998652935,23.681299000047147,19.040959700010717,1.477579300000798,3.1627487000077963,18.759285699983593,3.13746449991595,26.871874499949627,60200,5,3.513667135024434e-11,1.988984440111824e-08,3.806943659217087e-11,0.0,0.0,1.988984440111824e-08,0.0,0.0,0.0
3846,1,200,184,396,33,156,20,552,33,0,0,40,40,99,1,1538480.6332612503,1538480.6332612503,1538480.6332612503,0.049354400020092726,23.63803430000553,19.103864800010342,1.4648766000173055,3.069280299998354,18.841158499999437,3.173627900017891,26.861016600043513,60200,5,3.683253702035927e-11,1.9886593298027795e-08,4.7558610050171814e-11,0.0,0.0,1.9886593298027795e-08,0.0,0.0,0.0
