instance_index,feasible,candidates,feasible_candidates,pgm_failed_batch_points,pgm_failed_candidates,native_pgm_wrong_branch_points,native_pgm_wrong_branch_candidates,fixed_pv_fallback_points,fixed_pv_fallback_candidates,final_failed_batch_points,final_failed_candidates,best_candidate_index,best_feasible_candidate_index,best_all_candidate_index,cost_available,feasible_cost,all_cost,best_cost,generation_seconds,pgm_batch_seconds,pgm_prepare_seconds,pgm_power_flow_seconds,pgm_extract_seconds,fixed_pv_newton_seconds,constraint_evaluation_seconds,total_seconds,batch_points,pv_iterations,max_batch_pv_voltage_error_pu,maximum_violation,max_pf_residual_mva,violation_pg,violation_qg,violation_voltage,violation_angle,violation_thermal,violation_ramp
2094,1,100,99,125,18,25,7,150,18,0,0,10,10,10,1,1659966.852996485,1659966.852996485,1659966.852996485,0.0039493999793194234,12.236014699970838,9.743621099973097,0.892673599999398,1.5997089999727905,9.616741899983026,1.6836163000552915,13.923580400005449,30100,5,3.425604244711167e-11,1.990511089289269e-08,4.156218324963247e-11,0.0,0.0,1.990511089289269e-08,0.0,0.0,0.0
337,1,100,97,172,11,20,4,192,11,0,0,73,73,60,1,1667614.2291223162,1667614.2291223162,1667614.2291223162,0.004654099990148097,12.007834899995942,9.612985700019635,0.8129438000032678,1.5818947999505326,9.479070900008082,1.543649000057485,13.556138000043575,30100,5,4.3465009369469954e-11,1.9884766981152287e-08,4.0942578975417736e-11,0.0,0.0,1.9884766981152287e-08,0.0,0.0,0.0
2130,1,100,99,303,12,83,8,386,12,0,0,52,52,52,1,1636717.5447477289,1636717.5447477289,1636717.5447477289,0.004988099972251803,11.860389499983285,9.616123699990567,0.7643226999789476,1.479932699992787,9.48837660002755,1.5498483000556007,13.415225900011137,30100,5,3.086064737090055e-11,1.988762395506899e-08,4.15689484395811e-11,0.0,0.0,1.988762395506899e-08,0.0,0.0,0.0
3070,1,100,99,520,20,117,9,637,20,0,0,33,33,33,1,1654255.5445902222,1654255.5445902222,1654255.5445902222,0.02531589998397976,12.088875099958386,9.706157799984794,0.8492177999578416,1.5334879999863915,9.572912200004794,1.5460566999972798,13.660247699939646,30100,5,3.0768076975107306e-10,1.9892272088798753e-08,3.565172081899296e-11,0.0,0.0,1.9892272088798753e-08,0.0,0.0,0.0
2527,1,100,97,148,13,58,9,206,14,0,0,85,85,85,1,1659355.0724748976,1659355.0724748976,1659355.0724748976,0.004476200032513589,11.86851860000752,9.518479500024114,0.8385115999844857,1.5115175999817438,9.386857000004966,1.6424720999784768,13.51546690001851,30100,5,3.921041269450143e-11,1.9886796838915644e-08,4.159504458148131e-11,0.0,0.0,1.9886796838915644e-08,0.0,0.0,0.0
1936,1,100,99,0,0,0,0,0,0,0,0,38,38,38,1,1406789.0240914042,1406789.0240914042,1406789.0240914042,0.02293069998268038,11.900900000007823,9.659820300003048,0.7239789000013843,1.517064899962861,9.52707069995813,1.584955699974671,13.508786399965174,30100,5,2.8131164064859604e-11,1.988025947567231e-08,4.152569739154619e-11,0.0,0.0,1.988025947567231e-08,0.0,0.0,0.0
2921,1,100,99,226,17,134,9,360,17,0,0,28,28,61,1,1639983.6085510622,1639983.6085510622,1639983.6085510622,0.034377000003587455,12.2264488999499,9.833201999950688,0.8367799000116065,1.556457499973476,9.70368380000582,1.6345164000522345,13.895342300005723,30100,5,4.913536244544048e-11,1.9876988943678936e-08,4.1323690892129196e-11,0.0,0.0,1.9876988943678936e-08,0.0,0.0,0.0
3074,1,100,98,144,12,24,7,168,13,0,0,88,88,88,1,1519253.5098534992,1519253.5098534992,1519253.5098534992,0.05105899996124208,12.033550199994352,9.702527000044938,0.8448232000228018,1.4861897999653593,9.566318400029559,1.642745900026057,13.72735509998165,30100,5,3.036715323645467e-11,1.9881089367383216e-08,4.1520682660799606e-11,0.0,0.0,1.9881089367383216e-08,0.0,0.0,0.0
4098,1,100,100,6,2,0,0,6,2,0,0,93,93,93,1,1678155.4615279867,1678155.4615279867,1678155.4615279867,0.0472349000046961,12.121706500009168,9.784825200040359,0.8397777999634854,1.4970934999873862,9.654778100026306,1.5337032999959774,13.702644700009841,30100,5,3.2921776416117154e-11,1.9890179318397335e-08,3.8000455344182546e-11,0.0,0.0,1.9890179318397335e-08,0.0,0.0,0.0
3846,1,100,91,230,20,119,13,349,20,0,0,40,40,99,1,1538480.6341958316,1538480.6341958316,1538480.6341958316,0.053861299995332956,12.216659899975639,9.920636699942406,0.8309387000044808,1.4650758000207134,9.789912100008223,1.605560400057584,13.876081600028556,30100,5,3.6750269494234544e-11,1.988710029987571e-08,4.1510883532207786e-11,0.0,0.0,1.988710029987571e-08,0.0,0.0,0.0
225,1,100,97,85,13,18,5,103,14,0,0,36,36,36,1,1504420.9205054007,1504420.9205054007,1504420.9205054007,0.041430799989029765,11.810904800018761,9.594537700002547,0.7252612999873236,1.491096200013999,9.467948200006504,1.5202905999612994,13.37262619996909,30100,5,3.189604136366597e-11,1.9880016151792746e-08,4.685074163121262e-11,0.0,0.0,1.9880016151792746e-08,0.0,0.0,0.0
