instance_index,feasible,candidates,feasible_candidates,pgm_failed_batch_points,pgm_failed_candidates,native_pgm_wrong_branch_points,native_pgm_wrong_branch_candidates,fixed_pv_fallback_points,fixed_pv_fallback_candidates,final_failed_batch_points,final_failed_candidates,best_candidate_index,best_feasible_candidate_index,best_all_candidate_index,cost_available,feasible_cost,all_cost,best_cost,generation_seconds,pgm_batch_seconds,pgm_prepare_seconds,pgm_power_flow_seconds,pgm_extract_seconds,fixed_pv_newton_seconds,constraint_evaluation_seconds,total_seconds,batch_points,pv_iterations,max_batch_pv_voltage_error_pu,maximum_violation,max_pf_residual_mva,violation_pg,violation_qg,violation_voltage,violation_angle,violation_thermal,violation_ramp
2094,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1877482.1009363816,1877482.1009363816,1877482.1009363816,0.0036068999907001853,0.5104394000372849,0.4706142999930307,0.031091000011656433,0.008705699990969151,0.4689954000059515,0.009289999958127737,0.5233362999861129,301,5,2.4208524074254e-11,2.0069952181659763e-08,2.7821999314589373e-11,0.0,0.0,2.0069952181659763e-08,0.0,0.0,0.0
337,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1673781.3320654538,1673781.3320654538,1673781.3320654538,0.0038347000372596085,0.14562309999018908,0.10125999996671453,0.03545379999559373,0.008884500013664365,0.10031319997506216,0.010362199973315,0.15982000000076368,301,5,9.390821453791887e-12,1.9928526421667888e-08,3.464499416259546e-11,0.0,0.0,1.9928526421667888e-08,0.0,0.0,0.0
2130,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1759848.441604882,1759848.441604882,1759848.441604882,0.004004899994470179,0.12956849997863173,0.1002351000206545,0.022212699986994267,0.007099400041624904,0.09927459998289123,0.009362499986309558,0.14293589995941147,301,5,1.847877406646603e-11,1.9903468688002098e-08,2.995299445243343e-11,0.0,0.0,1.9903468688002098e-08,0.0,0.0,0.0
3070,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1688388.3981430696,1688388.3981430696,1688388.3981430696,0.004220300004817545,0.136493900034111,0.09942540002521127,0.029853400017600507,0.007188900024630129,0.09852129995124415,0.009669199993368238,0.15038340003229678,301,5,1.326538878743122e-11,1.9955352185500393e-08,4.1344946465330235e-11,0.0,0.0,1.9955352185500393e-08,0.0,0.0,0.0
2527,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1840684.3230813006,1840684.3230813006,1840684.3230813006,0.0039041000418365,0.13428410002961755,0.10163260000990704,0.025632300006691366,0.006999300036113709,0.10069230000954121,0.009226299996953458,0.1474145000684075,301,5,2.0960011504200793e-11,9.536743172944284e-08,3.509003495319746e-11,0.0,0.0,2.0006183746682856e-08,0.0,0.0,9.536743172944284e-08
1936,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1568303.7542727783,1568303.7542727783,1568303.7542727783,0.003943700052332133,0.1320306999841705,0.09914119995664805,0.025482600030954927,0.007385700009763241,0.09821959998225793,0.009256700053811073,0.1452311000903137,301,5,8.535283591015741e-12,1.992970788400326e-08,3.2550660423466274e-11,0.0,0.0,1.992970788400326e-08,0.0,0.0,0.0
2921,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1722787.6680450994,1722787.6680450994,1722787.6680450994,0.0036785000120289624,0.14130729995667934,0.09960329998284578,0.03203509998274967,0.009642499964684248,0.09845579997636378,0.010754000046290457,0.15573980001499876,301,5,1.3502976514701004e-11,1.987509601342195e-08,3.45258623498725e-11,0.0,0.0,1.987509601342195e-08,0.0,0.0,0.0
3074,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1543955.5693537847,1543955.5693537847,1543955.5693537847,0.004062799969688058,0.13238209998235106,0.09922520001418889,0.024565399973653257,0.008567699987906963,0.09832390001975,0.010606000025290996,0.14705089997733012,301,5,6.29551966113695e-12,1.9876963038475027e-08,3.555047240402644e-11,0.0,0.0,1.9876963038475027e-08,0.0,0.0,0.0
4098,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1759208.8072954647,1759208.8072954647,1759208.8072954647,0.008152000023983419,0.13737000001128763,0.10178799997083843,0.028029600041918457,0.0075252000242471695,0.10086870001396164,0.009444799972698092,0.15496680000796914,301,5,1.1983192216291627e-11,1.9968074416176745e-08,4.369862443841176e-11,0.0,0.0,1.9968074416176745e-08,0.0,0.0,0.0
3846,1,1,1,2,1,0,0,2,1,0,0,0,0,0,1,1607104.5422834274,1607104.5422834274,1607104.5422834274,0.0039006000151857734,0.13622029998805374,0.09908459999132901,0.029701300023589283,0.007427999982610345,0.09818860003724694,0.009543899970594794,0.1496647999738343,301,5,1.1621148487961364e-11,1.9883062788809487e-08,1.1295281784343704e-10,0.0,0.0,1.9883062788809487e-08,0.0,0.0,0.0
