instance_index,feasible,candidates,feasible_candidates,pgm_failed_batch_points,pgm_failed_candidates,native_pgm_wrong_branch_points,native_pgm_wrong_branch_candidates,fixed_pv_fallback_points,fixed_pv_fallback_candidates,final_failed_batch_points,final_failed_candidates,best_candidate_index,best_feasible_candidate_index,best_all_candidate_index,cost_available,feasible_cost,all_cost,best_cost,generation_seconds,pgm_batch_seconds,pgm_prepare_seconds,pgm_power_flow_seconds,pgm_extract_seconds,fixed_pv_newton_seconds,constraint_evaluation_seconds,total_seconds,batch_points,pv_iterations,max_batch_pv_voltage_error_pu,maximum_violation,max_pf_residual_mva,violation_pg,violation_qg,violation_voltage,violation_angle,violation_thermal,violation_ramp
2094,1,50,50,32,9,4,3,36,9,0,0,10,10,10,1,1659966.8530842229,1659966.8530842229,1659966.8530842229,0.006859299959614873,6.239223400014453,5.050716400030069,0.472961799998302,0.7155344000202604,4.9857359000016,0.7617076999740675,7.007790399948135,15050,5,3.4129254977699475e-11,1.9905314433780537e-08,3.569431156490341e-11,0.0,0.0,1.9905314433780537e-08,0.0,0.0,0.0
337,1,50,49,55,7,4,3,59,7,0,0,9,9,28,1,1669753.4784847489,1669753.4784847489,1669753.4784847489,0.0037346999743022025,5.999266800004989,4.85358759999508,0.42463950003730133,0.7210285000037402,4.78680559998611,0.7517357000033371,6.754737199982628,15050,5,2.8851143696329018e-11,1.9910423310065523e-08,3.191107915340539e-11,0.0,0.0,1.9910423310065523e-08,0.0,0.0,0.0
2130,1,50,49,181,4,40,4,221,4,0,0,48,48,48,1,1640583.9422025392,1640583.9422025392,1640583.9422025392,0.003616000001784414,6.043917100003455,4.876589799998328,0.4551033999887295,0.7122166000190191,4.8100423000287265,0.8160092000034638,6.863542300008703,15050,5,2.614330973926826e-11,1.9878621896710987e-08,4.702617190088799e-11,0.0,0.0,1.9878621896710987e-08,0.0,0.0,0.0
3070,1,50,49,470,12,95,6,565,12,0,0,33,33,33,1,1654255.5444924596,1654255.5444924596,1654255.5444924596,0.004002399975433946,6.11991670000134,4.902535900007933,0.5164773000287823,0.700894600013271,4.8359818999888375,0.756465999991633,6.880385099968407,15050,5,3.0768076975107306e-10,1.9892272088798753e-08,3.565172081899296e-11,0.0,0.0,1.9892272088798753e-08,0.0,0.0,0.0
2527,1,50,48,109,8,47,5,156,9,0,0,38,38,43,1,1662568.6458664779,1662568.6458664779,1662568.6458664779,0.003583699988666922,5.976409299997613,4.787999199994374,0.4898864999995567,0.6985163000063039,4.725077900046017,0.7685005000093952,6.748493499995675,15050,5,3.904676582067168e-11,1.9890510534933016e-08,4.6297453946256184e-11,0.0,0.0,1.9890510534933016e-08,0.0,0.0,0.0
1936,1,50,50,0,0,0,0,0,0,0,0,38,38,38,1,1406789.0240554467,1406789.0240554467,1406789.0240554467,0.0037680999957956374,5.89738270000089,4.812835699995048,0.3805940999882296,0.7039203000022098,4.747440300008748,0.7297022999846376,6.630853099981323,15050,5,1.903344148956876e-11,1.988019008673327e-08,3.5616751901382785e-11,0.0,0.0,1.988019008673327e-08,0.0,0.0,0.0
2921,1,50,50,124,6,70,3,194,6,0,0,28,28,28,1,1639983.6078909934,1639983.6078909934,1639983.6078909934,0.00414099998306483,5.988601299992297,4.866883100010455,0.42942760000005364,0.6922822999767959,4.798730499984231,0.7351538999937475,6.727896199969109,15050,5,4.913536244544048e-11,1.987697876663454e-08,4.1323690892129196e-11,0.0,0.0,1.987697876663454e-08,0.0,0.0,0.0
3074,1,50,50,98,5,14,5,112,6,0,0,25,25,25,1,1523703.0909156327,1523703.0909156327,1523703.0909156327,0.004101800033822656,6.033645300019998,4.87016820005374,0.454583500046283,0.7088858999777585,4.804640499991365,0.7670855999458581,6.804832699999679,15050,5,2.8511193406188795e-11,1.987059775980051e-08,4.1504412286733596e-11,0.0,0.0,1.987059775980051e-08,0.0,0.0,0.0
4098,1,50,50,0,0,0,0,0,0,0,0,35,35,35,1,1678627.7412159895,1678627.7412159895,1678627.7412159895,0.0045894000213593245,5.998469300044235,4.818703600030858,0.47076100000413135,0.7089744000113569,4.755445700022392,0.7423252999433316,6.745384000008926,15050,5,3.0309976750686474e-11,1.989611901157908e-08,4.147700367220319e-11,0.0,0.0,1.989611901157908e-08,0.0,0.0,0.0
3846,1,50,45,127,10,64,6,191,10,0,0,40,40,27,1,1538480.6341972314,1538480.6341972314,1538480.6341972314,0.005469399970024824,5.996645100007299,4.8568450000020675,0.41280640003969893,0.7269862999673933,4.791543199971784,0.8069402999826707,6.809054799959995,15050,5,3.684808014270402e-11,1.988710029987571e-08,4.1510883532207786e-11,0.0,0.0,1.988710029987571e-08,0.0,0.0,0.0
