instance_index,feasible,candidates,feasible_candidates,pgm_failed_batch_points,pgm_failed_candidates,native_pgm_wrong_branch_points,native_pgm_wrong_branch_candidates,fixed_pv_fallback_points,fixed_pv_fallback_candidates,final_failed_batch_points,final_failed_candidates,best_candidate_index,best_feasible_candidate_index,best_all_candidate_index,cost_available,feasible_cost,all_cost,best_cost,generation_seconds,pgm_batch_seconds,pgm_prepare_seconds,pgm_power_flow_seconds,pgm_extract_seconds,fixed_pv_newton_seconds,constraint_evaluation_seconds,total_seconds,batch_points,pv_iterations,max_batch_pv_voltage_error_pu,maximum_violation,max_pf_residual_mva,violation_pg,violation_qg,violation_voltage,violation_angle,violation_thermal,violation_ramp
2094,1,10,10,6,2,2,2,8,2,0,0,3,3,3,1,1661998.744360507,1661998.744360507,1661998.744360507,0.015501100046094507,2.462411399988923,2.0138279999955557,0.1845162999816239,0.2640401999815367,1.9855847000144422,0.28147629997693,2.7593888000119478,3010,5,2.879252392062881e-11,1.991251145453767e-08,3.5566206245005495e-11,0.0,0.0,1.991251145453767e-08,0.0,0.0,0.0
337,1,10,10,0,0,0,0,0,0,0,0,9,9,9,1,1669753.4835379994,1669753.4835379994,1669753.4835379994,0.009473700018133968,1.4234728000010364,1.0033036000095308,0.15115709998644888,0.26896419998956844,0.9786459000315517,0.29726289998507127,1.7302094000042416,3010,5,2.594724435311946e-11,1.9910743424370954e-08,4.344477118820731e-11,0.0,0.0,1.9910743424370954e-08,0.0,0.0,0.0
2130,1,10,9,5,1,2,1,7,1,0,0,2,2,2,1,1645461.2013676926,1645461.2013676926,1645461.2013676926,0.01748160005081445,1.4183592000044882,0.9845898000057787,0.16554690001066774,0.2682020000065677,0.959961399959866,0.30123969999840483,1.7370805000537075,3010,5,2.6249336038119964e-11,1.988502880874893e-08,3.2157112530015534e-11,0.0,0.0,1.988502880874893e-08,0.0,0.0,0.0
3070,1,10,10,109,5,16,2,125,5,0,0,9,9,9,1,1658478.2526164784,1658478.2526164784,1658478.2526164784,0.009043400001246482,1.4761287000146694,0.9785941000445746,0.20957649999763817,0.2879432999761775,0.9531024000025354,0.29969259997596964,1.7848646999918856,3010,5,1.8851809002740083e-11,1.988944287045767e-08,4.1531194531148655e-11,0.0,0.0,1.988944287045767e-08,0.0,0.0,0.0
2527,1,10,10,4,1,0,0,4,1,0,0,3,3,3,1,1690218.9253272722,1690218.9253272722,1690218.9253272722,0.01244120002957061,1.397418899985496,0.9782048999913968,0.1666387000004761,0.25256199995055795,0.9539809999987483,0.2978974999859929,1.7077576000010595,3010,5,3.0856761590314363e-11,1.9889503932724023e-08,1.1638430831759228e-10,0.0,0.0,1.9889503932724023e-08,0.0,0.0,0.0
1936,1,10,10,0,0,0,0,0,0,0,0,3,3,3,1,1454141.1808646673,1454141.1808646673,1454141.1808646673,0.008795699977781624,1.4094610999454744,0.984219599980861,0.14778309996472672,0.27741270000115037,0.9574381000129506,0.29731910006375983,1.7155758999870159,3010,5,1.1689205159370886e-11,2.243939567492248e-07,3.346540491085267e-11,0.0,0.0,1.9904994319475106e-08,0.0,0.0,2.243939567492248e-07
2921,1,10,10,7,2,2,1,9,2,0,0,5,5,5,1,1652185.3098415465,1652185.3098415465,1652185.3098415465,0.009180799999739975,1.4166490000206977,0.9754949000198394,0.1671654999954626,0.2739737000083551,0.9501906000077724,0.3044965999433771,1.7303263999638148,3010,5,2.0422441515677292e-11,1.994492349055575e-08,4.637558215335787e-11,0.0,0.0,1.994492349055575e-08,0.0,0.0,0.0
3074,1,10,10,0,0,0,0,0,0,0,0,3,3,3,1,1537695.0456445995,1537695.0456445995,1537695.0456445995,0.008314499980770051,1.396757400012575,0.9829609000007622,0.15085939998971298,0.2628969000070356,0.9578170000459068,0.28263689996674657,1.6877087999600917,3010,5,2.858513425962883e-11,1.993621286574171e-08,3.721100418842247e-11,0.0,0.0,1.993621286574171e-08,0.0,0.0,0.0
4098,1,10,10,0,0,0,0,0,0,0,0,5,5,5,1,1682160.362439593,1682160.362439593,1682160.362439593,0.00942610000493005,1.404655999969691,0.9886366999708116,0.16711199999554083,0.24885779997566715,0.963446700014174,0.2856123000383377,1.6996944000129588,3010,5,3.025779626852909e-11,1.9073486323684108e-07,3.5501072220943695e-11,0.0,0.0,1.9908870848202754e-08,0.0,0.0,1.9073486323684108e-07
3846,1,10,10,21,2,25,1,46,2,0,0,7,7,7,1,1539907.016617239,1539907.016617239,1539907.016617239,0.012673199991695583,1.440904800023418,0.9893754000077024,0.1720793999847956,0.279433700023219,0.9639822000171989,0.3007911999593489,1.7543691999744624,3010,5,3.6746827802858206e-11,1.9888063418349572e-08,4.338090315955143e-11,0.0,0.0,1.9888063418349572e-08,0.0,0.0,0.0
